626007;12/20/21 17:22;;14,85;R
626832;12/20/21 17:22;;418,75;R
629872;12/20/21 17:22;;15,45;R
640205;12/20/21 17:22;;108;R
645276;12/20/21 17:22;;31,2;R
659099;12/20/21 17:22;;12,9;R
661224;12/20/21 17:22;;102;R
662940;12/20/21 17:22;;443,75;R
663239;12/20/21 17:22;;16,2;R
667826;12/20/21 17:22;;112,5;R
670612;12/20/21 17:22;;93,75;R
671127;12/20/21 17:22;;7,52;R
673604;12/20/21 17:22;;5,44;R
676655;12/20/21 17:22;;6,16;R
678868;12/20/21 17:22;;5,84;R
682635;12/20/21 17:22;;66;R
688322;12/20/21 17:22;;17,5;R
691526;12/20/21 17:22;;862,5;R
697286;12/20/21 17:22;;7,68;R
703127;12/20/21 17:22;;7,52;R
704441;12/20/21 17:22;;12,9;R
705906;12/20/21 17:22;;15,3;R
716951;12/20/21 17:22;;8,08;R
720867;12/20/21 17:22;;14,4;R
724316;12/20/21 17:22;;8,08;R
725573;12/20/21 17:22;;15,45;R
727812;12/20/21 17:22;;98;R
732064;12/20/21 17:22;;5,84;R
733645;12/20/21 17:22;;293,75;R
734431;12/20/21 17:22;;15,45;R
739135;12/20/21 17:22;;103;R
742076;12/20/21 17:22;;8,16;R
742185;12/20/21 17:22;;8,16;R
751788;12/20/21 17:22;;4,5;R
754507;12/20/21 17:22;;8,16;R
756986;12/20/21 17:22;;15,6;R
758290;12/20/21 17:22;;18;R
762090;12/20/21 17:22;;5,44;R
762144;12/20/21 17:22;;6,16;R
762729;12/20/21 17:22;;8,7;R
773840;12/20/21 17:22;;12,75;R
777383;12/20/21 17:22;;105;R
779835;12/20/21 17:22;;14,85;R
780815;12/20/21 17:22;;15,45;R
781645;12/20/21 17:22;;103;R
793213;12/20/21 17:22;;15,45;R
797741;12/20/21 17:22;;7,36;R
803215;12/20/21 17:22;;6;R
805300;12/20/21 17:22;;16,2;R
805630;12/20/21 17:22;;15,75;R
818149;12/20/21 17:22;;13,35;R
818790;12/20/21 17:22;;12,9;R
826166;12/20/21 17:22;;8,08;R
827847;12/20/21 17:22;;418,75;R
834094;12/20/21 17:22;;7,52;R
836886;12/20/21 17:22;;16,2;R
838744;12/20/21 17:22;;12,9;R
841449;12/20/21 17:22;;101;R
843022;12/20/21 17:22;;108;R
850902;12/20/21 17:22;;16,2;R
855885;12/20/21 17:22;;112,5;R
865773;12/20/21 17:22;;5,84;R
866773;12/20/21 17:22;;300;R
868598;12/20/21 17:22;;8,08;R
871672;12/20/21 17:22;;8,08;R
871895;12/20/21 17:22;;15,45;R
872034;12/20/21 17:22;;418,75;R
876122;12/20/21 17:22;;12,9;R
877769;12/20/21 17:22;;6;R
883296;12/20/21 17:22;;15,45;R
886216;12/20/21 17:22;;6,16;R
888570;12/20/21 17:22;;11,25;R
893202;12/20/21 17:22;;12,75;R
896689;12/20/21 17:22;;7,68;R
906279;12/20/21 17:22;;15,45;R
906383;12/20/21 17:22;;7,68;R
906546;12/20/21 17:22;;108;R
907275;12/20/21 17:22;;103;R
909656;12/20/21 17:22;;3,04;R
911135;12/20/21 17:22;;7,36;R
912435;12/20/21 17:22;;14,7;R
915044;12/20/21 17:22;;6;R
917364;12/20/21 17:22;;66;R
917706;12/20/21 17:22;;108;R
918613;12/20/21 17:22;;15,45;R
921126;12/20/21 17:22;;12,75;R
928248;12/20/21 17:22;;68;R
930667;12/20/21 17:22;;12,9;R
935927;12/20/21 17:22;;8,16;R
938230;12/20/21 17:22;;8,16;R
947006;12/20/21 17:22;;20,16;R
950212;12/20/21 17:22;;6;R
967076;12/20/21 17:22;;425;R
972446;12/20/21 17:22;;15,45;R
977853;12/20/21 17:22;;108;R
978042;12/20/21 17:22;;8,08;R
986346;12/20/21 17:22;;6,88;R
987770;12/20/21 17:22;;7,52;R
987970;12/20/21 17:22;;8,16;R
990738;12/20/21 17:22;;12,75;R
990900;12/20/21 17:22;;7,52;R
993394;12/20/21 17:22;;93,75;R
995071;12/20/21 17:22;;12,9;R
OX;12/20/21 17:22;;108;R
101467;12/20/21 17:22;;66;R
106876;12/20/21 17:22;;16,2;R
109916;12/20/21 17:22;;101;R
119477;12/20/21 17:22;;16,2;R
119762;12/20/21 17:22;;103;R
121527;12/20/21 17:22;;7,36;R
122924;12/20/21 17:22;;78;R
131312;12/20/21 17:22;;8,7;R
133610;12/20/21 17:22;;162,5;R
136367;12/20/21 17:22;;7,68;R
136837;12/20/21 17:22;;11,25;R
142537;12/20/21 17:22;;8,08;R
149378;12/20/21 17:22;;12,9;R
163512;12/20/21 17:22;;16,2;R
163562;12/20/21 17:22;;12,15;R
165134;12/20/21 17:22;;6;R
168759;12/20/21 17:22;;7,68;R
171360;12/20/21 17:22;;12,5;R
177912;12/20/21 17:22;;6,16;R
179075;12/20/21 17:22;;262,5;R
182924;12/20/21 17:22;;4,64;R
183199;12/20/21 17:22;;7,68;R
184850;12/20/21 17:22;;66;R
185767;12/20/21 17:22;;15,45;R
186781;12/20/21 17:22;;8,08;R
187384;12/20/21 17:22;;15,45;R
189596;12/20/21 17:22;;16,2;R
